dog_name,breed,location
Shuck,Black Dog,England
Barghest,Goblin Dog,Yorkshire
Cu Sith,Fairy Hound,Scotland
Gwyllgi,Dog of Darkness,Wales
Moddey Dhoo,Black Dog,Isle of Man
Church Grim,Guardian Dog,England
Yeth Hound,Headless Dog,Devon
Gabble Ratchet,Ghost Dog,Northern England
Wish Hound,Phantom Dog,Dartmoor
Ropey,Black Dog,Somerset
Padfoot,Shapeshifter Dog,Lancashire
Hairy Jack,Spectral Dog,Lincolnshire
Galleytrot,White Dog,Suffolk
Capelthwaite,Shriker Dog,Westmorland
Skriker,Demon Dog,Yorkshire
Black Angus,Devil Dog,Scotland
Mauthe Doog,Phantom Dog,Isle of Man
Ceffyl Dwr,Water Dog,Wales
Cwn Annwn,Hounds of Annwn,Wales
Gallytrot,Suffolk Dog,East Anglia
