dog_name,breed,location
Cerberus,Molossus,Hades
Argos,Hunting Dog,Ithaca
Laelaps,Golden Hound,Thebes
Sirius,Unknown,Constellation
Orthrus,Two-Headed Dog,Erytheia
Maera,Hunting Dog,Icarius
Odysseus,War Dog,Troy
Peritas,Molossian,Macedonia
Soter,Guard Dog,Corinth
Aureus,Golden Dog,Crete
Lelaps,Swift Hound,Athens
Pompeian,Guard Dog,Pompeii
Phylax,Shepherd Dog,Arcadia
Melampos,Oracle Dog,Pylos
Eurytion,Herding Dog,Erytheia
Diomedean,War Dog,Thrace
Actaeon,Hunting Dog,Boeotia
Cynosura,Cretan Hound,Crete
Lycisca,Spartan Dog,Sparta
Alcibiades,Maltese,Athens
